"","Sample_1","Sample_2","Sample_3","Sample_4","Sample_5","Sample_6","Sample_7","Sample_8","Sample_9","Sample_10","Sample_11","Sample_12","Sample_13","Sample_14","Sample_15","Sample_16","Sample_17","Sample_18","Sample_19","Sample_20","Sample_21","Sample_22","Sample_23","Sample_24","Sample_25","Sample_26","Sample_27","Sample_28","Sample_29","Sample_30","Sample_31","Sample_32","Sample_33","Sample_34","Sample_35","Sample_36","Sample_37","Sample_38","Sample_39","Sample_40","Sample_41","Sample_42","Sample_43","Sample_44","Sample_45","Sample_46","Sample_47","Sample_48","Sample_49","Sample_50","Sample_51","Sample_52","Sample_53","Sample_54","Sample_55","Sample_56","Sample_57","Sample_58","Sample_59","Sample_60","Sample_61","Sample_62","Sample_63","Sample_64","Sample_65","Sample_66","Sample_67","Sample_68","Sample_69","Sample_70","Sample_71","Sample_72","Sample_73","Sample_74","Sample_75","Sample_76","Sample_77","Sample_78","Sample_79","Sample_80","Sample_81","Sample_82","Sample_83","Sample_84","Sample_85","Sample_86","Sample_87","Sample_88","Sample_89","Sample_90","Sample_91","Sample_92","Sample_93","Sample_94","Sample_95","Sample_96","Sample_97","Sample_98","Sample_99","Sample_100"
"Porphyromonadaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,292,0,0,0,0,0,0,0,0,0,0
"Prevotellaceae",0,1474435,0,3128,0,0,37696,5006,0,0,5712,0,1115947,0,514782,0,517555,0,0,0,0,0,0,0,422747,12385,2573710,245618,14643,0,0,0,0,8244,6800,1140312,24934,308539,0,0,0,0,0,21760,0,21609,0,946382,0,8829,1360481,0,2791,0,39723,0,275611,18124,1117086,34110,172596,0,0,0,27975,1100297,0,112488,1478508,0,1039693,0,1103246,0,0,0,268595,0,0,0,0,0,510249,0,0,0,0,0,202847,152316,0,0,18081,0,256,93680,0,2166,0,0
"Rikenellaceae",404852,1527,69036,169139,182477,72326,197636,126647,190276,360604,282702,2645,9810,141978,159047,226631,22255,94805,333009,165887,186047,73498,857862,238999,254765,101111,66729,21811,119747,10604,1254,6559,158749,241417,625925,28616,9858,109984,109848,0,101921,88434,111799,6364,48464,10087,225799,37453,465083,168248,147588,339109,136433,2145,234550,141041,5750,109682,4417,69230,58241,325108,397984,173026,71336,44013,341976,95313,103647,0,4427,2839,24711,160739,197300,25815,72792,203567,8619,132483,145894,88422,88485,370736,69718,0,205128,72961,0,17351,270579,129780,146422,50,189318,164837,234391,101249,50286,214168
"Tannerellaceae",96873,0,25175,71585,130680,27079,175474,125267,50874,152400,93573,174799,198009,107290,66388,54703,229697,54420,85043,77690,44182,134462,430561,9921,122380,62861,29491,27637,40759,7062,0,104946,135497,33543,48252,21586,32355,63079,153406,2277461,83515,87892,105662,566704,12377,124808,313842,6046,141882,55715,62188,71159,90888,92891,42875,206656,50575,40296,1325,98525,54812,148356,257701,54840,91051,81804,107719,133507,64738,194747,13155,78761,26592,80547,64517,39582,46135,69815,96023,96395,0,76763,25488,331192,29282,14727,119609,73994,26755,14180,34448,85039,225620,78409,32955,261106,145687,26640,165283,118198
"Candidatus_Gastranaerophilales_unclassified",0,0,0,0,0,0,0,0,0,1561,0,0,0,737,0,0,1941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacillaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacillales_unclassified",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Listeriaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Staphylococcaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Enterococcaceae",0,0,0,0,0,0,0,0,0,0,3626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1853,0,0,0,0,0,0,0,0,0,0,0
"Lactobacillaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,259,0,99,5215,0,0,0,0,750,0,0,0,0,2086,0,0,0,0,0,0,0,0,0,0,0,0,0,234,0,707,0,0,0,0,0,337,0,0,804,2464,107,0,0,0,0,0,266,0,0,0,0,0,0,0,0,4034,0,0,0,0,2904,0,0,788,342,0,223,0,0,132,0,0,0,0,0,0,3214,0,0,0,0,0,0,0,104
"Streptococcaceae",12819,1425,0,0,0,3999,0,0,0,0,0,0,0,830,467,140950,0,0,701,725,401,0,0,880,25710,808,0,0,1351,3271,0,0,0,0,3663,0,418,0,0,0,0,1146,0,0,0,0,0,0,293,0,0,0,0,0,237,0,2960,368,0,1076,228,0,774,0,225,0,409,620,0,0,0,0,0,0,12000,231,0,0,0,0,1050,2779,0,0,0,382,0,0,3228,0,157,0,21087,6207,832,4091,0,0,6469,0
"Christensenellaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clostridiaceae",2343,0,13963,14362,37416,3244,0,4180,2372,2915,779,28719,870,910,2568,70327,17790,2555,25473,50529,9463,3987,2443,12964,3646,16677,1482,2789,55558,7942,7392,18495,0,2435,6232,5802,1601,0,1989,0,10267,25619,24210,24988,5394,1295,7869,1009,24358,15638,6124,31792,0,6151,2600,19179,3674,0,7475,92728,3629,8105,0,4698,1517,4579,6179,3028,2655,19255,810,0,0,5522,13811,34357,27527,30741,7608,8279,1144,39668,2855,2513,4810,3275,5715,3668,4319,2792,4333,10470,3644,499,4302,1796,8819,38575,10000,1192
"Clostridiales_unclassified",8230,0,13725,1726,3595,0,2214,12003,2580,8806,6219,5074,0,155,846,0,1391,8039,4392,28617,8545,12087,18987,65944,613,22574,0,0,741,2401,2239,790,375,635,42632,13708,229,1637,7453,51185,9267,18871,9924,151,609,1362,11320,0,43436,9544,0,4054,812,1054,5046,15771,391,0,0,24608,0,5336,6603,5266,1519,1242,1921,1306,0,685,0,2220,0,8613,7057,0,0,0,11322,7936,5284,3174,1119,1066,0,0,6687,4629,525,2321,382,0,5918,2192,635,2922,4988,2763,4011,4391
"Eubacteriaceae",40379,56814,17172,153811,25713,6295,60479,29588,28940,9766,17425,82261,9341,55428,38202,30163,36302,29841,56176,66761,24004,30817,144432,111093,41011,34990,5987,50061,71468,161948,17019,40670,1323,12263,30027,8359,37687,32329,11620,25596,32553,15534,40391,15863,104490,8476,297474,9746,40603,19706,4999,18378,84862,13095,30997,6281,237745,4844,37096,5210,37040,14834,46592,10107,19351,6394,5523,71238,15554,13239,106645,15061,33590,6553,33975,31822,21337,40968,24216,16132,238347,33004,182,33184,14008,11151,841,36201,23101,18608,10136,161403,16110,61475,5291,53374,185909,8353,3196,24124
"Lachnospiraceae",67000,84077,319179,381199,156798,191245,509841,145739,239736,176493,375759,472493,185907,96429,184423,439987,263221,516718,195399,855440,236788,180112,227732,483107,209048,117375,196814,108864,251273,158286,184375,246427,11492,29337,124074,259050,245715,193336,365420,155448,288162,399767,307632,142065,269046,90414,310024,60803,342877,231127,208232,149048,102943,168570,188434,62068,164626,160920,252031,307467,139473,107753,383904,352684,435165,122555,180927,280867,153489,308402,222974,173951,260069,278630,306098,615407,101124,576580,69608,278097,345150,176951,53564,153195,186603,129751,12833,597905,125828,304174,454647,306122,470849,646866,148331,195739,394467,95558,153938,301621
"Oscillospiraceae",0,5412,6995,25454,45821,28843,0,20054,6256,3342,0,736,0,6986,9170,32753,19593,3151,43860,0,18861,0,5726,0,417,14331,6036,3936,46268,21169,8659,35295,8318,4991,13630,22684,43845,32164,18133,0,18916,23515,17,684,41615,1269,34140,9290,7644,12595,2736,32480,28307,16480,24245,1571,30388,7198,33318,5443,13582,5020,0,15293,5121,2967,0,16901,4585,0,11285,0,14846,0,8517,3822,27230,7896,24599,20324,31196,5044,11707,15720,18434,0,21407,42440,12381,1316,38049,9383,49462,4979,3532,20625,13168,6706,4989,17196
"Peptostreptococcaceae",0,0,0,0,0,0,1692,0,0,0,0,0,0,4869,0,6040,0,0,0,58,0,0,0,6529,0,0,9043,0,0,0,0,0,0,0,0,0,0,0,0,871,0,0,0,0,0,678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1103,0,2049,0,0,1023,4045,0,0,0,0,714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,380,0,280,0,0,0,1177,0,0
"Ruminococcaceae",236375,96298,268044,207718,166573,109336,361128,410351,200235,101625,143218,316968,295498,239612,759874,369634,168701,339642,357225,287718,447968,169427,289532,447052,581220,331237,121743,205070,280079,397697,239301,282900,106067,82553,146688,217739,150653,264788,406042,337111,214304,325537,168656,474823,287787,258703,394973,55021,209444,215548,229030,125620,73443,173416,432884,228345,241661,272416,38338,95174,166975,216801,350962,312912,274565,159572,120609,329500,302331,79982,101247,316918,308635,418031,383437,103930,91684,652190,336854,160077,415139,325387,174294,290971,175555,8494,236873,218767,253048,98813,232157,356284,492125,445093,153871,121248,365451,239470,624893,209189
"Erysipelotrichaceae",0,14718,71,0,1096,0,5732,0,0,24206,3203,7114,0,0,0,0,0,0,0,19148,0,0,0,0,0,0,93,0,1409,2230,751,0,966,0,0,0,0,0,0,1376,0,0,350,3782,0,0,0,1286,0,15540,475,2533,0,770,0,0,0,0,0,0,0,213,12393,233,12767,0,0,1523,6137,0,0,1856,1273,0,2719,0,0,0,542,1546,0,2336,2320,0,0,0,0,0,2409,20261,41806,6026,0,1534,230,0,1082,285,0,679
"Firmicutes_unclassified",46201,1216,0,3946,4061,4735,0,5671,2052,0,2974,0,0,5458,1314,66,580,0,3596,122490,5978,3516,17010,44324,28183,3409,2646,3912,27654,1007,2343,1593,58076,9696,22992,834,1585,503,14624,1777,9389,775,442,2168,2465,0,16467,6113,14340,13167,0,750,29889,3442,21421,19198,1152,3386,470,59524,3343,3959,0,157712,4166,23476,3770,28530,0,1134,8225,2297,7926,1063,25227,286,48297,2416,14273,656,1009,9217,38580,6457,1617,0,11872,16340,26995,19473,2969,484,1367,1796,30610,7417,8295,41606,2033,5470
"Acidaminococcaceae",0,31643,6078,0,17105,4951,0,0,2517,0,42718,3999,36648,575,6380,148,6738,8494,9565,18827,0,7237,0,10293,11220,0,73,4779,16548,0,7195,587,0,770,8374,8906,1105,307,0,0,1392,0,0,5381,11144,20917,12334,2606,10078,11524,0,2933,5822,72,6404,3924,9833,0,26073,0,12707,4943,0,8620,7297,0,0,0,2162,0,0,8552,11716,18080,0,9992,0,0,12837,5109,3010,40269,0,0,10125,7328,0,0,0,33,1342,0,5131,0,2022,19899,17877,0,7437,11862
"Selenomonadaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Veillonellaceae",8207,0,0,2876,0,0,612,893,51,0,0,3058,0,0,0,13695,0,444,0,0,2183,0,5272,81,0,3165,4534,0,0,32831,0,2883,18794,0,0,0,1866,337,11397,8016,0,3755,1487,0,0,13071,183,20552,0,0,0,638,587,0,0,0,0,265,0,0,0,0,1573,0,0,0,0,0,0,52,0,0,6488,0,1154,0,75122,0,0,0,639,1174,0,0,326,0,0,258,0,0,0,12625,2869,199,0,0,0,629,878,65202
"Fusobacteriaceae",0,0,0,0,0,7251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
